time,open,high,low,close,vwap,volume,count
1499924700,186.50033,191.20473,186.0,189.50088,188.86999,2372.37790572,421
1499925600,189.0,189.84599,187.33607,187.79993,189.3969,3150.93491028,431
1499926500,187.79993,188.5,186.5,187.079,187.22839,895.62935293,252
1499927400,187.079,187.079,184.77,184.81499,185.2219,2314.15792918,439
1499928300,184.81605,185.30993,184.0,185.15,184.44554,1411.10366436,303
1499929200,185.15,186.273,184.8795,185.5705,185.36152,1189.81421365,244
1499930100,185.57049,185.82173,185.00009,185.7988,185.57933,535.53489542,238
1499931000,185.737,185.7988,183.00001,183.1,183.96466,1678.03015705,368
1499931900,183.1,183.1,183.0,183.0,183.00648,1487.60707172,173
1499932800,183.0,183.0,180.35943,181.56584,181.18903,4588.53650558,569
1499933700,181.56584,186.0,181.36,184.0,184.03569,2833.19848834,607
1499934600,183.94515,186.47154,183.28101,186.47154,185.10796,3147.74403234,415
1499935500,186.21802,189.0,186.08,186.29931,187.48947,2611.81581571,527
1499936400,186.58,186.99831,183.61813,185.0,184.86094,1918.77251782,331
1499937300,185.09999,186.50499,184.28928,184.28928,185.54701,1910.72737004,374
1499938200,184.68264,185.0,182.00101,183.0,183.11647,1805.16508751,383
1499939100,182.95967,184.0,182.66088,182.75006,183.05976,1487.3506681,277
1499940000,182.95679,182.95679,181.0,181.00008,181.70685,3138.21590272,358
1499940900,181.61134,183.0,181.0,182.4999,181.43968,4329.59529771,414
1499941800,182.3,184.741,182.287,184.741,183.81791,2522.51447224,359
1499942700,183.58767,185.62094,183.40189,184.0,184.50144,2301.99128693,329
1499943600,183.81611,186.0,183.0,185.1,184.46475,2309.44282805,490
1499944500,185.09999,186.90497,184.0,184.0,185.27156,2236.5304706,292
1499945400,184.0,185.89878,183.82311,185.89867,184.65997,1553.19935766,196
1499946300,185.89759,186.0,185.172,186.0,185.70346,1278.58981864,255
1499947200,185.99999,188.88,185.5,186.93501,187.41193,2439.69202748,397
1499948100,186.93501,187.79884,185.72012,185.72012,186.48212,2164.41874452,321
1499949000,185.73292,185.73292,184.0,184.49976,184.80909,1181.07185431,273
1499949900,184.10008,184.946,184.0,184.0,184.48892,509.08471889,154
1499950800,184.0,184.3,182.42928,182.758,183.19538,2046.59231084,360
1499951700,182.65,182.758,181.13509,181.13509,181.82401,1942.2021239,269
1499952600,181.13509,184.0,181.13509,183.20999,182.5147,1551.05756052,295
1499953500,183.20999,183.60999,183.2,183.22,183.24106,738.58796918,250
1499954400,183.22,183.99978,183.2,183.39982,183.41907,659.18469175,178
1499955300,183.39983,183.47,181.13509,181.13516,182.59057,949.69964572,235
1499956200,181.7,182.22198,181.13509,181.73787,181.77939,1180.19582951,253
1499957100,181.73789,183.46949,181.73789,183.43999,182.84407,952.58995372,257
1499958000,183.43998,183.44,181.00009,181.00009,181.73894,1211.46934165,307
1499958900,181.047,181.0995,179.371,179.371,180.40187,7880.54607741,690
1499959800,179.3,179.3,175.84862,176.0,177.52896,5095.33300492,671
1499960700,176.4,176.4,175.0,175.36837,175.37114,3769.60510141,605
1499961600,175.36837,178.0,174.9,178.0,176.9712,3682.67626522,471
1499962500,178.0,178.0,175.20004,176.19999,176.57264,1151.64418489,243
1499963400,176.19996,176.2,173.88891,175.83525,174.84855,4075.91035134,587
1499964300,175.76,177.478,175.11307,177.477,176.49702,1336.43334206,320
1499965200,177.40998,177.47798,174.68001,176.1414,175.65041,1246.49338407,260
1499966100,176.1414,176.1414,174.21,174.22001,174.93518,2513.65605455,383
1499967000,174.22001,175.0428,171.10156,171.5997,173.12288,3735.64266655,499
1499967900,171.5997,173.27993,170.5,170.8,171.67997,3710.8485989,761
